,Date,Price
0,1914-12-01,55.0
1,1915-01-01,56.55
2,1915-02-01,56.0
3,1915-03-01,58.3
4,1915-04-01,66.45
5,1915-05-01,65.95
6,1915-06-01,68.4
7,1915-07-01,71.85
8,1915-08-01,79.25
9,1915-09-01,85.5
10,1915-10-01,92.35
11,1915-11-01,94.35
12,1915-12-01,97.0
13,1916-01-01,94.7
14,1916-02-01,93.55
15,1916-03-01,93.3
16,1916-04-01,89.75
17,1916-05-01,90.15
18,1916-06-01,90.65
19,1916-07-01,88.45
20,1916-08-01,91.0
21,1916-09-01,97.45
22,1916-10-01,102.1
23,1916-11-01,107.9
24,1916-12-01,98.5
25,1917-01-01,97.15
26,1917-02-01,90.95
27,1917-03-01,94.65
28,1917-04-01,93.9
29,1917-05-01,93.35
30,1917-06-01,96.95
31,1917-07-01,92.9
32,1917-08-01,88.65
33,1917-09-01,83.6
34,1917-10-01,79.05
35,1917-11-01,71.4
36,1917-12-01,70.2
37,1918-01-01,76.6
38,1918-02-01,79.95
39,1918-03-01,78.05
40,1918-04-01,77.65
41,1918-05-01,81.05
42,1918-06-01,80.45
43,1918-07-01,81.85
44,1918-08-01,81.95
45,1918-09-01,82.5
46,1918-10-01,86.25
47,1918-11-01,84.0
48,1918-12-01,82.5
49,1919-01-01,81.65
50,1919-02-01,82.45
51,1919-03-01,86.55
52,1919-04-01,91.15
53,1919-05-01,99.4
54,1919-06-01,103.6
55,1919-07-01,109.7
56,1919-08-01,103.25
57,1919-09-01,108.2
58,1919-10-01,113.9
59,1919-11-01,111.6
60,1919-12-01,105.8
61,1920-01-01,105.9
62,1920-02-01,96.5
63,1920-03-01,97.95
64,1920-04-01,99.45
65,1920-05-01,91.1
66,1920-06-01,91.7
67,1920-07-01,90.7
68,1920-08-01,85.25
69,1920-09-01,86.5
70,1920-10-01,84.85
71,1920-11-01,79.3
72,1920-12-01,72.2
73,1921-01-01,74.75
74,1921-02-01,75.7
75,1921-03-01,75.05
76,1921-04-01,77.0
77,1921-05-01,76.7
78,1921-06-01,69.2
79,1921-07-01,68.6
80,1921-08-01,66.95
81,1921-09-01,69.35
82,1921-10-01,71.7
83,1921-11-01,75.7
84,1921-12-01,79.8
85,1922-01-01,80.6
86,1922-02-01,83.75
87,1922-03-01,87.2
88,1922-04-01,91.3
89,1922-05-01,93.95
90,1922-06-01,93.55
91,1922-07-01,95.0
92,1922-08-01,98.5
93,1922-09-01,99.2
94,1922-10-01,99.75
95,1922-11-01,95.75
96,1922-12-01,97.0
97,1923-01-01,98.2
98,1923-02-01,100.8
99,1923-03-01,103.9
100,1923-04-01,100.55
101,1923-05-01,95.5
102,1923-06-01,92.55
103,1923-07-01,89.3
104,1923-08-01,90.45
105,1923-09-01,90.75
106,1923-10-01,88.15
107,1923-11-01,90.65
108,1923-12-01,94.1
109,1924-01-01,97.8
110,1924-02-01,98.8
111,1924-03-01,95.6
112,1924-04-01,91.95
113,1924-05-01,90.4
114,1924-06-01,93.3
115,1924-07-01,99.25
116,1924-08-01,103.55
117,1924-09-01,102.9
118,1924-10-01,101.65
119,1924-11-01,107.65
120,1924-12-01,115.45
121,1925-01-01,121.55
122,1925-02-01,120.45
123,1925-03-01,120.35
124,1925-04-01,119.7
125,1925-05-01,125.55
126,1925-06-01,128.9
127,1925-07-01,133.9
128,1925-08-01,138.85
129,1925-09-01,142.45
130,1925-10-01,150.65
131,1925-11-01,153.8
132,1925-12-01,154.55
133,1926-01-01,156.1
134,1926-02-01,158.4
135,1926-03-01,144.25
136,1926-04-01,140.55
137,1926-05-01,140.3
138,1926-06-01,148.15
139,1926-07-01,156.8
140,1926-08-01,163.5
141,1926-09-01,161.2
142,1926-10-01,152.7
143,1926-11-01,153.95
144,1926-12-01,159.3
145,1927-01-01,154.65
146,1927-02-01,158.15
147,1927-03-01,160.1
148,1927-04-01,164.05
149,1927-05-01,168.8
150,1927-06-01,168.85
151,1927-07-01,175.35
152,1927-08-01,183.85
153,1927-09-01,195.3
154,1927-10-01,189.8
155,1927-11-01,189.95
156,1927-12-01,198.0
157,1928-01-01,198.95
158,1928-02-01,195.35
159,1928-03-01,204.5
160,1928-04-01,212.45
161,1928-05-01,216.3
162,1928-06-01,211.5
163,1928-07-01,210.85
164,1928-08-01,227.25
165,1928-09-01,239.3
166,1928-10-01,247.45
167,1928-11-01,274.9
168,1928-12-01,278.65
169,1929-01-01,307.25
170,1929-02-01,309.0
171,1929-03-01,308.85
172,1929-04-01,309.2
173,1929-05-01,310.25
174,1929-06-01,316.45
