,Model,Year,Encoder,Task,Score
0,ERNIE,2019,Transformer,CoLA,75.5
1,T5,2019,Transformer,CoLA,71.6
2,RoBERTa,2019,Transformer,CoLA,67.8
3,BERT,2018,Transformer,CoLA,60.5
4,BiLSTM+ELMo,2018,LSTM,CoLA,32.1
5,BiLSTM+CoVe,2017,LSTM,CoLA,18.5
6,BiLSTM+Attn,2017,LSTM,CoLA,18.6
7,BiLSTM,2017,LSTM,CoLA,11.6
8,ERNIE,2019,Transformer,SST-2,97.8
9,T5,2019,Transformer,SST-2,97.5
10,RoBERTa,2019,Transformer,SST-2,96.7
11,BERT,2018,Transformer,SST-2,94.9
12,BiLSTM+ELMo,2018,LSTM,SST-2,89.3
13,BiLSTM+CoVe,2017,LSTM,SST-2,81.9
14,BiLSTM+Attn,2017,LSTM,SST-2,83.0
15,BiLSTM,2017,LSTM,SST-2,82.8
16,ERNIE,2019,Transformer,MRPC,93.9
17,T5,2019,Transformer,MRPC,92.8
18,RoBERTa,2019,Transformer,MRPC,92.3
19,BERT,2018,Transformer,MRPC,89.3
20,BiLSTM+ELMo,2018,LSTM,MRPC,84.7
21,BiLSTM+CoVe,2017,LSTM,MRPC,78.7
22,BiLSTM+Attn,2017,LSTM,MRPC,83.9
23,BiLSTM,2017,LSTM,MRPC,81.8
24,ERNIE,2019,Transformer,STS-B,93.0
25,T5,2019,Transformer,STS-B,93.1
26,RoBERTa,2019,Transformer,STS-B,92.2
27,BERT,2018,Transformer,STS-B,87.6
28,BiLSTM+ELMo,2018,LSTM,STS-B,70.3
29,BiLSTM+CoVe,2017,LSTM,STS-B,64.4
30,BiLSTM+Attn,2017,LSTM,STS-B,72.8
31,BiLSTM,2017,LSTM,STS-B,70.3
32,ERNIE,2019,Transformer,QQP,75.2
33,T5,2019,Transformer,QQP,75.1
34,RoBERTa,2019,Transformer,QQP,74.3
35,BERT,2018,Transformer,QQP,72.1
36,BiLSTM+ELMo,2018,LSTM,QQP,61.1
37,BiLSTM+CoVe,2017,LSTM,QQP,60.6
38,BiLSTM+Attn,2017,LSTM,QQP,60.1
39,BiLSTM,2017,LSTM,QQP,62.5
40,ERNIE,2019,Transformer,MNLI,92.3
41,T5,2019,Transformer,MNLI,92.2
42,RoBERTa,2019,Transformer,MNLI,90.8
43,BERT,2018,Transformer,MNLI,86.7
44,BiLSTM+ELMo,2018,LSTM,MNLI,67.2
45,BiLSTM+CoVe,2017,LSTM,MNLI,65.4
46,BiLSTM+Attn,2017,LSTM,MNLI,67.6
47,BiLSTM,2017,LSTM,MNLI,65.6
48,ERNIE,2019,Transformer,QNLI,97.3
49,T5,2019,Transformer,QNLI,96.9
50,RoBERTa,2019,Transformer,QNLI,95.4
51,BERT,2018,Transformer,QNLI,92.7
52,BiLSTM+ELMo,2018,LSTM,QNLI,75.5
53,BiLSTM+CoVe,2017,LSTM,QNLI,70.8
54,BiLSTM+Attn,2017,LSTM,QNLI,74.3
55,BiLSTM,2017,LSTM,QNLI,74.6
56,ERNIE,2019,Transformer,RTE,92.6
57,T5,2019,Transformer,RTE,92.8
58,RoBERTa,2019,Transformer,RTE,88.2
59,BERT,2018,Transformer,RTE,70.1
60,BiLSTM+ELMo,2018,LSTM,RTE,57.4
61,BiLSTM+CoVe,2017,LSTM,RTE,52.7
62,BiLSTM+Attn,2017,LSTM,RTE,58.4
63,BiLSTM,2017,LSTM,RTE,57.4
