,Date,Extent
0,1980-01-01,14.2
1,1980-01-03,14.302
2,1980-01-05,14.414
3,1980-01-07,14.518
4,1980-01-09,14.594
5,1980-01-11,14.665
6,1980-01-13,14.771
7,1980-01-15,14.831
8,1980-01-17,14.957
9,1980-01-19,15.12
10,1980-01-21,15.141
11,1980-01-23,15.195
12,1980-01-25,15.209
13,1980-01-27,15.124
14,1980-01-29,15.258
15,1980-01-31,15.491
16,1980-02-02,15.401
17,1980-02-04,15.639
18,1980-02-06,15.76
19,1980-02-08,15.888
20,1980-02-10,15.895
21,1980-02-12,15.97
22,1980-02-14,16.017
23,1980-02-16,16.095
24,1980-02-18,16.095
25,1980-02-20,16.17
26,1980-02-22,16.066
27,1980-02-24,16.087
28,1980-02-26,16.069
29,1980-02-28,16.22
30,1980-03-01,16.157
31,1980-03-03,16.248
32,1980-03-05,16.302
33,1980-03-07,16.289
34,1980-03-09,16.168
35,1980-03-11,16.04
36,1980-03-13,15.966
37,1980-03-15,15.994
38,1980-03-17,15.988
39,1980-03-19,16.005
40,1980-03-21,15.946
41,1980-03-23,15.945
42,1980-03-25,15.923
43,1980-03-27,15.986
44,1980-03-29,15.891
45,1980-03-31,15.813
46,1980-04-02,15.681
47,1980-04-04,15.664
48,1980-04-06,15.707
49,1980-04-08,15.653
50,1980-04-10,15.644
51,1980-04-12,15.652
52,1980-04-14,15.523
53,1980-04-16,15.509
54,1980-04-18,15.39
55,1980-04-20,15.376
56,1980-04-22,15.406
57,1980-04-24,15.259
58,1980-04-26,15.117
59,1980-04-28,14.996
60,1980-04-30,14.859
61,1980-05-02,14.718
62,1980-05-04,14.549
63,1980-05-06,14.412
64,1980-05-08,14.32
65,1980-05-10,14.186
66,1980-05-12,14.011
67,1980-05-14,13.843
68,1980-05-16,13.757
69,1980-05-18,13.672
70,1980-05-20,13.531
71,1980-05-22,13.405
72,1980-05-24,13.34
73,1980-05-26,13.206
74,1980-05-28,13.023
75,1980-05-30,12.916
76,1980-06-01,12.766
77,1980-06-03,12.706
78,1980-06-05,12.614
79,1980-06-07,12.61
80,1980-06-09,12.586
81,1980-06-11,12.468
82,1980-06-13,12.278
83,1980-06-15,12.269
84,1980-06-17,12.13
85,1980-06-19,12.043
86,1980-06-21,12.007
87,1980-06-23,11.842
88,1980-06-25,11.699
89,1980-06-27,11.585
90,1980-06-29,11.466
91,1980-07-01,11.283
92,1980-07-03,11.075
93,1980-07-05,10.983
94,1980-07-07,10.852
95,1980-07-09,10.7
96,1980-07-11,10.575
97,1980-07-13,10.307
98,1980-07-15,10.203
99,1980-07-17,9.946
100,1980-07-19,9.847
101,1980-07-21,9.779
102,1980-07-23,9.594
103,1980-07-25,9.358
104,1980-07-27,9.166
105,1980-07-29,9.065
106,1980-07-31,8.868
107,1980-08-02,8.76
108,1980-08-04,8.611
109,1980-08-06,8.548
110,1980-08-08,8.348
111,1980-08-10,8.202
112,1980-08-12,8.041
113,1980-08-14,7.82
114,1980-08-16,7.765
115,1980-08-18,7.761
116,1980-08-20,7.717
117,1980-08-22,7.758
118,1980-08-24,7.578
119,1980-08-26,7.667
120,1980-08-28,7.588
121,1980-08-30,7.6
122,1980-09-01,7.544
123,1980-09-03,7.555
124,1980-09-05,7.533
125,1980-09-07,7.574
126,1980-09-09,7.56
127,1980-09-11,7.557
128,1980-09-13,7.543
129,1980-09-15,7.602
130,1980-09-17,7.58
131,1980-09-19,7.651
132,1980-09-21,7.686
133,1980-09-23,7.782
134,1980-09-25,7.854
135,1980-09-27,7.966
136,1980-09-29,8.019
137,1980-10-01,8.223
138,1980-10-03,8.213
139,1980-10-05,8.485
140,1980-10-07,8.532
141,1980-10-09,8.809
142,1980-10-11,8.975
143,1980-10-13,9.161
144,1980-10-15,9.218
145,1980-10-17,9.272
146,1980-10-19,9.389
147,1980-10-21,9.468
148,1980-10-23,9.586
149,1980-10-25,9.643
150,1980-10-27,9.841
151,1980-10-29,9.911
152,1980-10-31,10.198
153,1980-11-02,10.42
154,1980-11-04,10.523
155,1980-11-06,10.652
156,1980-11-08,10.789
157,1980-11-10,10.88
158,1980-11-12,10.976
159,1980-11-14,11.087
160,1980-11-16,11.217
161,1980-11-18,11.337
162,1980-11-20,11.628
163,1980-11-22,11.78
164,1980-11-24,12.096
165,1980-11-26,12.256
166,1980-11-28,12.476
167,1980-11-30,12.626
168,1980-12-02,12.643
169,1980-12-04,13.032
170,1980-12-06,13.122
171,1980-12-08,13.298
172,1980-12-10,13.334
173,1980-12-12,13.569
174,1980-12-14,13.685
175,1980-12-16,13.91
176,1980-12-18,13.762
177,1980-12-20,13.697
178,1980-12-22,13.779
179,1980-12-24,13.798
180,1980-12-26,14.0
181,1980-12-28,14.172
182,1980-12-30,14.093
183,1981-01-01,14.256
184,1981-01-03,14.456
185,1981-01-05,14.435
186,1981-01-07,14.689
187,1981-01-09,14.619
188,1981-01-11,14.69
189,1981-01-13,14.649
190,1981-01-15,14.748
191,1981-01-17,14.998
192,1981-01-19,15.066
193,1981-01-21,15.055
194,1981-01-23,15.17
195,1981-01-25,15.244
196,1981-01-27,15.35
197,1981-01-29,15.503
198,1981-01-31,15.627
199,1981-02-02,15.646
200,1981-02-04,15.663
201,1981-02-06,15.629
202,1981-02-08,15.541
203,1981-02-10,15.44
204,1981-02-12,15.474
205,1981-02-14,15.482
206,1981-02-16,15.575
207,1981-02-18,15.592
208,1981-02-20,15.731
209,1981-02-22,15.654
210,1981-02-24,15.706
211,1981-02-26,15.667
212,1981-02-28,15.657
213,1981-03-02,15.628
214,1981-03-04,15.726
215,1981-03-06,15.646
216,1981-03-08,15.644
217,1981-03-10,15.733
218,1981-03-12,15.657
219,1981-03-14,15.801
220,1981-03-16,15.771
221,1981-03-18,15.528
222,1981-03-20,15.621
223,1981-03-22,15.535
224,1981-03-24,15.559
225,1981-03-26,15.626
226,1981-03-28,15.517
227,1981-03-30,15.481
228,1981-04-01,15.44
229,1981-04-03,15.221
230,1981-04-05,15.224
231,1981-04-07,15.242
232,1981-04-09,15.202
233,1981-04-11,15.135
234,1981-04-13,15.11
235,1981-04-15,15.086
236,1981-04-17,14.983
237,1981-04-19,14.95
238,1981-04-21,14.92
239,1981-04-23,14.844
240,1981-04-25,14.714
241,1981-04-27,14.564
242,1981-04-29,14.514
243,1981-05-01,14.272
244,1981-05-03,14.285
245,1981-05-05,14.249
246,1981-05-07,14.077
247,1981-05-09,14.083
248,1981-05-11,14.072
249,1981-05-13,14.025
250,1981-05-15,13.928
251,1981-05-17,13.843
252,1981-05-19,13.752
253,1981-05-21,13.568
254,1981-05-23,13.464
255,1981-05-25,13.378
256,1981-05-27,13.333
257,1981-05-29,13.275
258,1981-05-31,13.222
259,1981-06-02,13.059
